content,label,has_url,has_phone_number,sender_type
Dưới đây là 40 tin nhắn SMS giả lập từ người dùng di động tại Việt Nam, thuộc nhãn 0 (tin sạch), định dạng CSV theo yêu cầu của bạn.


content,0,0,0,personal_number
"Tối nay rảnh không, làm ly cafe ông ơi?",0,0,0,personal_number
"Mai 8h họp phòng mình nhớ đi đúng giờ nha mọi người.",0,0,0,personal_number
"Mẹ ơi tí con về muộn, đừng đợi cơm con nhé.",0,0,0,personal_number
"Sáng mai 7h thi môn Triết nha, đừng có ngủ quên đấy.",0,0,0,personal_number
"Ok lát tớ qua đón, đợi 5 phút nha.",0,0,0,personal_number
"Cuối tuần này cả nhà mình đi ăn đồ nướng không ạ?",0,0,0,personal_number
"Mọi người ơi nhớ gửi báo cáo trước 5h chiều nay nhé.",0,0,0,personal_number
"Học nhóm ở quán cũ hay chỗ nào mới đây bà ơi?",0,0,0,personal_number
"Lâu rồi không gặp, cuối tuần làm chầu nhậu đi.",0,0,0,personal_number
"Con mua hoa quả về rồi ạ, mẹ có cần mua gì thêm không?",0,0,0,personal_number
"Anh ơi, chiều nay đón con giúp em với nhé, em bận họp.",0,0,0,personal_number
"Nhớ mang theo tài liệu buổi họp sáng nay nha Linh.",0,0,0,personal_number
"Chúc mừng sinh nhật nhé, tối có đi đâu chơi không?",0,0,0,personal_number
"Mai đi đá bóng lúc 5h chiều nhé anh em.",0,0,0,personal_number
"Tớ đang qua rồi, đợi tớ xíu nha.",0,0,0,personal_number
"Chị ơi, gửi cho em xin file danh sách khách hàng với ạ.",0,0,0,personal_number
"Tối nay có phim hay lắm, đi xem không mấy đứa?",0,0,0,personal_number
"Nhớ ôn bài kỹ nhé, mai thầy kiểm tra đấy.",0,0,0,personal_number
"Bố ơi, cuối tuần này con về quê chơi nhé.",0,0,0,personal_number
"Ok chốt lịch 9h sáng mai tại văn phòng nha.",0,0,0,personal_number
"Đi ăn trưa không đồng nghiệp ơi? Đói quá rồi.",0,0,0,personal_number
"Mai mang cho tớ mượn quyển sách hôm nọ nhé.",0,0,0,personal_number
"Cố gắng làm xong việc sớm rồi về ăn cơm nha chồng.",0,0,0,personal_number
"Bạn ơi, mai đi học nhớ mang theo laptop nhé.",0,0,0,personal_number
"Chú ơi, nhà con có ít quà quê gửi chú ạ.",0,0,0,personal_number
"Sếp bảo chiều nay họp đột xuất lúc 2h nhé mọi người.",0,0,0,personal_number
"Đi uống trà sữa không, tớ bao nè?",0,0,0,personal_number
"Nhớ uống thuốc đúng giờ nha, chúc mau khỏe.",0,0,0,personal_number
"Tối nay 8h online làm ván game nhé anh em.",0,0,0,personal_number
"Em nộp bài rồi ạ, thầy kiểm tra giúp em với.",0,0,0,personal_number
"Cuối tuần này đi dã ngoại không, tớ chuẩn bị đồ ăn cho?",0,0,0,personal_number
"Mẹ bảo chiều nay nhớ đi chợ mua cá nhé.",0,0,0,personal_number
"Lịch thi đổi sang thứ Hai tuần sau rồi nha mọi người.",0,0,0,personal_number
"Anh đang đứng trước cửa nhà rồi, xuống đi nha.",0,0,0,personal_number
"Mai có buổi training lúc 10h, đừng đi muộn nhé.",0,0,0,personal_number
"Bạn đã làm xong bài tập về nhà chưa, cho tớ tham khảo với?",0,0,0,personal_number
"Hôm nay trời lạnh, nhớ mặc ấm khi ra ngoài nha.",0,0,0,personal_number
"Ok tí mình gửi link zoom cho nhé.",0,0,0,personal_number
"Tối nay cả phòng đi karaoke không sếp ơi?",0,0,0,personal_number
"Chúc cả nhà buổi tối vui vẻ nhé!",0,0,0,personal_number

Dưới đây là 40 tin nhắn (nhãn 0 - tin nhắn cá nhân) được biên soạn theo phong cách chat thực tế của người Việt, sử dụng teencode nhẹ và kết hợp linh hoạt có dấu/không dấu theo định dạng CSV bạn yêu cầu:


content,0,0,0,personal_number
Ok b nha,0,0,0,personal_number
Mai di som nhe,0,0,0,personal_number
Toi nay qua nha t choi ko?,0,0,0,personal_number
Co j bao t sau,0,0,0,personal_number
Oke m, ti gap nhe,0,0,0,personal_number
M bit cho do ko?,0,0,0,personal_number
Dc rui, de t xem sao,0,0,0,personal_number
Thui t ko di dau,0,0,0,personal_number
J ma cang vay m?,0,0,0,personal_number
M dang o dau day?,0,0,0,personal_number
Co tin j moi chua b?,0,0,0,personal_number
T toi noi rui nhe,0,0,0,personal_number
Mai di an ko t bao?,0,0,0,personal_number
Ukie b, chốt vậy nha,0,0,0,personal_number
De t check lai roi bao m,0,0,0,personal_number
Lau qua ko gap m rui,0,0,0,personal_number
M bit may gio vao lop ko?,0,0,0,personal_number
Co j nhan t sau nha,0,0,0,personal_number
Ghe vay thui ak?,0,0,0,personal_number
T dang ban ty, ti t goi lai,0,0,0,personal_number
Mua t cai banh mi nhe,0,0,0,personal_number
Sap toi noi chua m oi?,0,0,0,personal_number
Thui dung buon nua m,0,0,0,personal_number
Oke nha b, ti gap o quan,0,0,0,personal_number
M co mang theo do ko?,0,0,0,personal_number
Huhu t quen mat rui,0,0,0,personal_number
Vay thui khoi di cung dc,0,0,0,personal_number
Dc cua lo day m nhe,0,0,0,personal_number
De t hoi lai xem sao,0,0,0,personal_number
M dang lam j day?,0,0,0,personal_number
Chieu nay di cf ko b?,0,0,0,personal_number
T bít rùi, khổ quá nói mãi,0,0,0,personal_number
Ko dc dau m oi,0,0,0,personal_number
Mai qua t lay do nhe,0,0,0,personal_number
Oke rui nhe, tks m,0,0,0,personal_number
Co j mai gap roi noi,0,0,0,personal_number
M thay sao? On ko?,0,0,0,personal_number
Khi nao m ve thi bao t,0,0,0,personal_number
Thui t di ngu day,0,0,0,personal_number
Ok b, cu vay ma lam,0,0,0,personal_number

Dưới đây là 40 tin nhắn mô phỏng phong cách chat cá nhân của người Việt (nhãn 0), sử dụng teencode nhẹ, có dấu và không dấu xen kẽ theo định dạng CSV bạn yêu cầu:


content,0,0,0,personal_number
Dậy chưa m ơi?,0,0,0,personal_number
Ok b nha, t chuẩn bị đi đây,0,0,0,personal_number
Mai di som nhe m,0,0,0,personal_number
Toi nay qua nha t choi ko?,0,0,0,personal_number
Co j bao t sau nhe,0,0,0,personal_number
Tới đâu rùi?,0,0,0,personal_number
Hết tiền rùi m ơi, cho t vay ít,0,0,0,personal_number
Ăn cơm chưa b?,0,0,0,personal_number
Nay dc nghỉ ko?,0,0,0,personal_number
Gửi t link đấy với,0,0,0,personal_number
Oke, tí t qua,0,0,0,personal_number
Khổ lắm, bít rùi,0,0,0,personal_number
Thui ko đi đâu, lười lắm,0,0,0,personal_number
Mai di an ko b?,0,0,0,personal_number
Chúc mừng sinh nhật m nha,0,0,0,personal_number
Đang ở đâu đấy?,0,0,0,personal_number
Về chưa m ơi?,0,0,0,personal_number
T đang chờ ở cổng nè,0,0,0,personal_number
Có chuyện j thế?,0,0,0,personal_number
Mua hộ t cái bánh mì nha,0,0,0,personal_number
May gio di dc?,0,0,0,personal_number
Tối đi xem phim ko m?,0,0,0,personal_number
Ko sao đâu, đừng lo,0,0,0,personal_number
Nay m làm ca mấy?,0,0,0,personal_number
Đợi t 5p nữa thui,0,0,0,personal_number
Có j mới ko b?,0,0,0,personal_number
Moi di ve, met qua,0,0,0,personal_number
Oke b nhé, chốt vậy đi,0,0,0,personal_number
Cho m mượn cái sạc với,0,0,0,personal_number
Tí t call lại sau nha,0,0,0,personal_number
Toi nay an j nhi?,0,0,0,personal_number
Sang nha t lay do nhe,0,0,0,personal_number
Bít rùi, nói mãi,0,0,0,personal_number
Cv hom nay the nao r b?,0,0,0,personal_number
Đang bận tí, lát t nhắn lại,0,0,0,personal_number
Có đi chơi vs t ko?,0,0,0,personal_number
M có bít chỗ nào bán áo đẹp ko?,0,0,0,personal_number
Thui m ngủ đi, muộn rùi,0,0,0,personal_number
Mai qua đón t nhé,0,0,0,personal_number
Gửi t stk để t ck nha,0,0,0,personal_number

Dưới đây là 40 tin nhắn SMS nhãn 0 (tin sạch) được biên soạn theo yêu cầu nghiêm ngặt của bạn. Nội dung bao gồm các biến động số dư, mã OTP và thông báo đơn hàng từ các đơn vị uy tín.


content,label,has_url,has_phone_number,sender_type
"VCB: 20/10/23 09:15; +2,000,000VND; SD: 15,450,000VND. ND: Luong thang 10. Truy cap https://portal.vietcombank.com.vn de kiem tra.",0,1,0,brandname
"Ma OTP xac nhan giao dich ngan hang Techcombank cua quy khach la 456123. Ma co hieu luc trong 2 phut.",0,0,0,brandname
"Shopee: Don hang 2405SP12 da duoc xac nhan. Theo doi lich trinh giao hang tai https://shopee.vn/track",0,1,0,brandname
"Giao dich thanh cong tai ngan hang ACB: -500,000VND luc 14:20. So du hien tai: 5,200,000VND.",0,0,0,brandname
"Google: 123789 la ma xac nhan (OTP) de dang nhap vao tai khoan cua ban.",0,0,0,shortcode
"Lazada: Kien hang cua ban dang tren duong giao. Vui long xac nhan khi nhan hang tai https://lazada.vn/order",0,1,0,brandname
"MB Bank: Quy khach dang thuc hien giao dich chuyen khoan. Ma OTP la 998877. Tuyet doi khong cung cap ma nay cho bat ky ai.",0,0,0,brandname
"Apple ID: Ma xac nhan cua ban la 654321. Nhap ma nay de hoan tat thiet lap.",0,0,0,brandname
"GHN: Don hang tu Shop ABC da den kho phân loai. Xem chi tiet tai link https://ghn.vn/status",0,1,0,brandname
"TPBank: Tai khoan 0123xxx vua thuc hien giao dich thanh toan hoa don. So tien: 250,000VND.",0,0,0,brandname
"Facebook: 882104 la ma OTP de khoi phuc mat khau cua ban.",0,0,0,shortcode
"Tiki: Cam on ban da mua hang. Don hang #987654321 da duoc xac nhan thanh cong.",0,0,0,brandname
"VietinBank: Quy khach dang dang ky dich vu iPay. Ma OTP xac nhan la 112233.",0,0,0,brandname
"ViettelPost: Buu ta dang di giao don hang 554433. Link theo doi: https://viettelpost.com.vn/tracking",0,1,0,brandname
"Agribank: Bien dong so du tai khoan 1500xxx: -1,200,000VND. Giao dich tai ATM luc 18:30.",0,0,0,brandname
"Microsoft: Dung ma 009911 de xac nhan danh tinh cho tai khoan Outlook cua ban.",0,0,0,shortcode
"BIDV: Ma OTP cua quy khach la 741852. Ma nay dung de xac nhan thanh toan truc tuyen.",0,0,0,brandname
"Grab: Ma xac nhan dang ky ung dung Grab cua ban la 556677.",0,0,0,brandname
"Sacombank: Giao dich +10,000,000VND tai ngan hang Sacombank luc 08:00. So du: 25,000,000VND.",0,0,0,brandname
"J&T Express: Don hang cua ban dang duoc giao boi shipper. Chi tiet tai https://jtexpress.vn/track",0,1,0,brandname
"Zalo: 443322 la ma OTP xac minh tai khoan Zalo cua ban.",0,0,0,brandname
